1	     0.0	    12.6
2	    12.6	    13.2
3	    25.8	    14.1
4	    39.8	    12.8
5	    52.6	    13.4
4	    66.0	    14.3
1	    80.3	    14.0
2	    94.4	    13.7
1	   108.1	    13.7
5	   121.7	    14.0
4	   135.7	    13.2
3	   148.9	    14.1
4	   163.0	    13.7
3	   176.7	    14.6
1	   191.3	    13.3
3	   204.6	    14.0
5	   218.5	    14.0
3	   232.6	    12.8
3	   245.3	    14.4
2	   259.8	    14.3
5	   274.1	    12.1
5	   286.1	    15.0
2	   301.1	    14.1
3	   315.2	    13.7
2	   328.9	    14.4
3	   343.3	    14.2
4	   357.5	    13.7
1	   371.2	    13.9
3	   385.1	    12.8
3	   397.9	    27.6
1	   475.0	    13.2
2	   488.2	    13.4
4	   501.6	    13.3
1	   514.9	    13.3
5	   528.2	    14.0
3	   542.2	    14.2
1	   556.3	    14.4
3	   570.7	    14.1
4	   584.8	    11.8
2	   596.6	    13.0
3	   609.6	    13.0
1	   622.6	    13.5
3	   636.1	    13.4
3	   649.4	    13.9
5	   663.4	    14.1
2	   677.4	    13.4
5	   690.8	    12.6
1	   703.3	    14.2
4	   717.5	    13.6
5	   731.1	    14.8
4	   745.9	    14.1
3	   760.0	    13.6
2	   773.5	    13.2
2	   786.8	    13.2
3	   800.0	    14.7
5	   814.7	    13.3
3	   828.0	    14.3
4	   842.3	    13.8
3	   856.2	    13.0
3	   869.2	    27.1
2	   948.4	    13.6
5	   962.0	    14.1
1	   976.1	    13.6
5	   989.6	    13.7
3	  1003.3	    14.4
1	  1017.7	    13.5
3	  1031.1	    14.2
2	  1045.3	    13.3
4	  1058.6	    14.3
3	  1072.9	    14.0
3	  1086.9	    14.1
2	  1101.0	    13.4
2	  1114.4	    13.1
4	  1127.5	    13.8
1	  1141.3	    12.5
3	  1153.8	    13.8
3	  1167.6	    14.1
1	  1181.7	    14.2
5	  1195.9	    13.9
3	  1209.8	    13.2
3	  1223.0	    13.2
4	  1236.2	    12.9
5	  1249.2	    13.4
5	  1262.5	    13.5
1	  1276.0	    14.0
4	  1290.0	    14.2
2	  1304.1	    14.1
3	  1318.3	    14.5
4	  1332.7	    13.6
3	  1346.4	    27.5
