run.order.file,run.system.seconds_since_epoch,run.system.time,trial.staircase.durationFrames,trial.staircase.thisTrialN,trial.system.seconds_since_epoch,trial.system.time,trial.number,time.onset,trial.response,trial.staircase_stim_duration,trial.rt,trial.stim_duration,trial.should_nudge,trial.reward,total_earnings,fix.after.feedback.adjusted,time.trial,time.run,time.global,subid,session,run,trial.type,fix.after.cue,fix.after.stim,fix.after.feedback,trial.cue_rt,trial.too_fast_rt,participant,session,fMRI? (yes or no),fMRI trigger on TTL? (yes or no),fMRI reverse screen? (yes or no),use ranged rewards?,use nudge for final run?,do only a single behavioral practice run?,start run (0-3),staircase start reward.low,staircase start reward.high,staircase start neutral,staircase start loss.low,staircase start loss.high,date,expName,frameRate,
,,,11,4,1650892728.7345512,Mon Apr 25 15:18:48 2022,18,459.55941529991105,0,0.2833333333333333,,0.2833333333333333,False,0,20,3.305531869176775,12.750076599884778,250.33625520020723,472.30949549982324,5,1,1,neutral,2.6391632628510706,2.26550222246442,3.305531869176775,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,13,5,1650892741.484246,Mon Apr 25 15:19:01 2022,19,472.30953409988433,0,0.31666666666666665,,0.31666666666666665,False,0,20,4.924384995829314,14.433541900012642,264.7698415000923,486.743083700072,5,1,1,neutral,2.6665615084348246,2.318985368241556,4.724667995702475,0.4331111996434629,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,15,2,1650892755.9180114,Mon Apr 25 15:19:15 2022,20,486.7431381000206,1,0.35,0.3338262001052499,0.3338262001052499,False,70,90,4.32361426204443,14.31722480012104,279.08712400030345,501.0603676997125,5,1,1,reward.high,2.710408403596375,2.737264832132496,4.15744046214968,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,13,3,1650892770.2356877,Mon Apr 25 15:19:30 2022,21,501.06040799990296,1,0.31666666666666665,0.30116220004856586,0.30116220004856586,False,0,90,3.4217499662190676,12.050362600013614,291.13753350032493,513.1107739000581,5,1,1,loss.high,2.054044511169195,2.016956996114459,3.2229121662676334,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,13,4,1650892782.2860644,Mon Apr 25 15:19:42 2022,22,513.1108122998849,1,0.31666666666666665,0.30021779984235764,0.30021779984235764,False,0,90,5.057004100643098,14.967244999948889,306.10482060024515,528.0780609999783,5,1,1,loss.high,2.6447455949964933,2.727654263144359,4.857221900485456,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,15,3,1650892797.2531805,Mon Apr 25 15:19:57 2022,23,528.0780977997929,1,0.35,0.35018490022048354,0.35018490022048354,False,70,160,4.572681231889874,14.133450500201434,320.2383119999431,542.2115532997996,5,1,1,reward.high,2.2787806115229614,2.723392582789529,4.422866132110357,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,15,6,1650892811.386491,Mon Apr 25 15:20:11 2022,24,542.2115972000174,1,0.35,0.33346450002864003,0.33346450002864003,False,0,160,4.122108139563352,13.700517400167882,333.9388784999028,555.9121197997592,5,1,1,neutral,2.4903394134598784,2.52923104778165,3.955572639591992,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,14,4,1650892825.0868828,Mon Apr 25 15:20:25 2022,25,555.9121694997884,1,0.33333333333333337,0.3166497997008264,0.3166497997008264,False,70,230,4.6534560532309115,14.416276100091636,348.3552073002793,570.3284483999014,5,1,1,reward.high,2.500132371264044,2.7174228844814934,4.470105852931738,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,15,7,1650892839.5039866,Mon Apr 25 15:20:39 2022,26,570.3284915997647,1,0.35,0.3498348998837173,0.3498348998837173,False,0,230,4.822427809704095,14.16758710006252,362.5228414000012,584.4960817997344,5,1,1,neutral,2.236544006736949,2.5537439580075443,4.672262709587812,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,13,4,1650892853.671345,Mon Apr 25 15:20:53 2022,27,584.4961216999218,1,0.31666666666666665,0.317399799823761,0.317399799823761,False,0,230,4.481208350975066,13.683809400070459,376.20669450005516,598.1799348997883,5,1,1,loss.low,2.237382804742083,2.43204567884095,4.298608150798827,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
